,序号,学校名称,学校标识码,主管部门,所在地,办学层次,办学方式,countOfCity
0,1,北京大学,4111010001,教育部,北京市,本科,公办,67
1,2,中国人民大学,4111010002,教育部,北京市,本科,公办,67
2,3,清华大学,4111010003,教育部,北京市,本科,公办,67
3,4,北京交通大学,4111010004,教育部,北京市,本科,公办,67
4,5,北京工业大学,4111010005,北京市,北京市,本科,公办,67
5,6,北京航空航天大学,4111010006,工业和信息化部,北京市,本科,公办,67
6,7,北京理工大学,4111010007,工业和信息化部,北京市,本科,公办,67
7,8,北京科技大学,4111010008,教育部,北京市,本科,公办,67
8,9,北方工业大学,4111010009,北京市,北京市,本科,公办,67
9,10,北京化工大学,4111010010,教育部,北京市,本科,公办,67
10,11,北京工商大学,4111010011,北京市,北京市,本科,公办,67
11,12,北京服装学院,4111010012,北京市,北京市,本科,公办,67
12,13,北京邮电大学,4111010013,教育部,北京市,本科,公办,67
13,14,北京印刷学院,4111010015,北京市,北京市,本科,公办,67
14,15,北京建筑大学,4111010016,北京市,北京市,本科,公办,67
15,16,北京石油化工学院,4111010017,北京市,北京市,本科,公办,67
16,17,北京电子科技学院,4111010018,中央办公厅,北京市,本科,公办,67
17,18,中国农业大学,4111010019,教育部,北京市,本科,公办,67
18,19,北京农学院,4111010020,北京市,北京市,本科,公办,67
19,20,北京林业大学,4111010022,教育部,北京市,本科,公办,67
20,21,北京协和医学院,4111010023,国家卫生健康委员会,北京市,本科,公办,67
21,22,首都医科大学,4111010025,北京市,北京市,本科,公办,67
22,23,北京中医药大学,4111010026,教育部,北京市,本科,公办,67
23,24,北京师范大学,4111010027,教育部,北京市,本科,公办,67
24,25,首都师范大学,4111010028,北京市,北京市,本科,公办,67
25,26,首都体育学院,4111010029,北京市,北京市,本科,公办,67
26,27,北京外国语大学,4111010030,教育部,北京市,本科,公办,67
27,28,北京第二外国语学院,4111010031,北京市,北京市,本科,公办,67
28,29,北京语言大学,4111010032,教育部,北京市,本科,公办,67
29,30,中国传媒大学,4111010033,教育部,北京市,本科,公办,67
30,31,中央财经大学,4111010034,教育部,北京市,本科,公办,67
31,32,对外经济贸易大学,4111010036,教育部,北京市,本科,公办,67
32,33,北京物资学院,4111010037,北京市,北京市,本科,公办,67
33,34,首都经济贸易大学,4111010038,北京市,北京市,本科,公办,67
34,35,中国消防救援学院,4111010039,应急管理部,北京市,本科,公办,67
35,36,外交学院,4111010040,外交部,北京市,本科,公办,67
36,37,中国人民公安大学,4111010041,公安部,北京市,本科,公办,67
37,38,国际关系学院,4111010042,教育部,北京市,本科,公办,67
38,39,北京体育大学,4111010043,国家体育总局,北京市,本科,公办,67
39,40,中央音乐学院,4111010045,教育部,北京市,本科,公办,67
40,41,中国音乐学院,4111010046,北京市,北京市,本科,公办,67
41,42,中央美术学院,4111010047,教育部,北京市,本科,公办,67
42,43,中央戏剧学院,4111010048,教育部,北京市,本科,公办,67
43,44,中国戏曲学院,4111010049,北京市,北京市,本科,公办,67
44,45,北京电影学院,4111010050,北京市,北京市,本科,公办,67
45,46,北京舞蹈学院,4111010051,北京市,北京市,本科,公办,67
46,47,中央民族大学,4111010052,国家民委,北京市,本科,公办,67
47,48,中国政法大学,4111010053,教育部,北京市,本科,公办,67
48,49,华北电力大学,4111010054,教育部,北京市,本科,公办,67
49,50,中华女子学院,4111011149,中华妇女联合会,北京市,本科,公办,67
50,51,北京信息科技大学,4111011232,北京市,北京市,本科,公办,67
51,52,中国矿业大学（北京）,4111011413,教育部,北京市,本科,公办,67
52,53,中国石油大学（北京）,4111011414,教育部,北京市,本科,公办,67
53,54,中国地质大学（北京）,4111011415,教育部,北京市,本科,公办,67
54,55,北京联合大学,4111011417,北京市,北京市,本科,公办,67
55,56,北京城市学院,4111011418,北京市教委,北京市,本科,民办,67
56,57,中国青年政治学院,4111011625,共青团中央,北京市,本科,公办,67
57,58,首钢工学院,4111011831,北京市,北京市,本科,公办,67
58,59,中国劳动关系学院,4111012453,中华全国总工会,北京市,本科,公办,67
59,60,首都师范大学科德学院,4111013629,北京市教委,北京市,本科,民办,67
60,61,北京工商大学嘉华学院,4111013630,北京市教委,北京市,本科,民办,67
61,62,北京邮电大学世纪学院,4111013901,北京市教委,北京市,本科,民办,67
62,63,北京工业大学耿丹学院,4111013904,北京市教委,北京市,本科,民办,67
63,64,北京警察学院,4111014019,北京市,北京市,本科,公办,67
64,65,北京第二外国语学院中瑞酒店管理学院,4111014201,北京市教委,北京市,本科,民办,67
65,66,中国科学院大学,4111014430,中国科学院,北京市,本科,公办,67
66,67,中国社会科学院大学,4111014596,中国社会科学院,北京市,本科,公办,67
67,93,南开大学,4112010055,教育部,天津市,本科,公办,31
68,94,天津大学,4112010056,教育部,天津市,本科,公办,31
69,95,天津科技大学,4112010057,天津市,天津市,本科,公办,31
70,96,天津工业大学,4112010058,天津市,天津市,本科,公办,31
71,97,中国民航大学,4112010059,交通运输部（中国民用航空局）,天津市,本科,公办,31
72,98,天津理工大学,4112010060,天津市,天津市,本科,公办,31
73,99,天津农学院,4112010061,天津市,天津市,本科,公办,31
74,100,天津医科大学,4112010062,天津市,天津市,本科,公办,31
75,101,天津中医药大学,4112010063,天津市,天津市,本科,公办,31
76,102,天津师范大学,4112010065,天津市,天津市,本科,公办,31
77,103,天津职业技术师范大学,4112010066,天津市,天津市,本科,公办,31
78,104,天津外国语大学,4112010068,天津市,天津市,本科,公办,31
79,105,天津商业大学,4112010069,天津市,天津市,本科,公办,31
80,106,天津财经大学,4112010070,天津市,天津市,本科,公办,31
81,107,天津体育学院,4112010071,天津市,天津市,本科,公办,31
82,108,天津音乐学院,4112010072,天津市,天津市,本科,公办,31
83,109,天津美术学院,4112010073,天津市,天津市,本科,公办,31
84,110,天津城建大学,4112010792,天津市,天津市,本科,公办,31
85,111,天津天狮学院,4112010859,天津市教委,天津市,本科,民办,31
86,112,天津中德应用技术大学,4112012105,天津市,天津市,本科,公办,31
87,113,天津外国语大学滨海外事学院,4112013658,天津市教委,天津市,本科,民办,31
88,114,天津传媒学院,4112013659,天津市教委,天津市,本科,民办,31
89,115,天津商业大学宝德学院,4112013660,天津市教委,天津市,本科,民办,31
90,116,天津医科大学临床医学院,4112013661,天津市教委,天津市,本科,民办,31
91,117,南开大学滨海学院,4112013663,天津市教委,天津市,本科,民办,31
92,118,天津师范大学津沽学院,4112013896,天津市教委,天津市,本科,民办,31
93,119,天津理工大学中环信息学院,4112013897,天津市教委,天津市,本科,民办,31
94,120,北京科技大学天津学院,4112013898,天津市教委,天津市,本科,民办,31
95,121,天津仁爱学院,4112014038,天津市教委,天津市,本科,民办,31
96,122,天津财经大学珠江学院,4112014087,天津市教委,天津市,本科,民办,31
97,149,河北大学,4113010075,河北省,保定市,本科,公办,9
98,150,河北工程大学,4113010076,河北省,邯郸市,本科,公办,3
99,151,河北地质大学,4113010077,河北省,石家庄市,本科,公办,19
100,152,河北工业大学,4113010080,河北省,天津市,本科,公办,31
101,153,华北理工大学,4113010081,河北省,唐山市,本科,公办,5
102,154,河北科技大学,4113010082,河北省,石家庄市,本科,公办,19
103,155,河北建筑工程学院,4113010084,河北省,张家口市,本科,公办,3
104,156,河北水利电力学院,4113010085,河北省,沧州市,本科,公办,3
105,157,河北农业大学,4113010086,河北省,保定市,本科,公办,9
106,158,河北医科大学,4113010089,河北省,石家庄市,本科,公办,19
107,159,河北北方学院,4113010092,河北省,张家口市,本科,公办,3
108,160,承德医学院,4113010093,河北省,承德市,本科,公办,3
109,161,河北师范大学,4113010094,河北省,石家庄市,本科,公办,19
110,162,保定学院,4113010096,河北省,保定市,本科,公办,9
111,163,河北民族师范学院,4113010098,河北省,承德市,本科,公办,3
112,164,唐山师范学院,4113010099,河北省,唐山市,本科,公办,5
113,165,廊坊师范学院,4113010100,河北省,廊坊市,本科,公办,8
114,166,衡水学院,4113010101,河北省,衡水市,本科,公办,1
115,167,石家庄学院,4113010102,河北省,石家庄市,本科,公办,19
116,168,邯郸学院,4113010103,河北省,邯郸市,本科,公办,3
117,169,邢台学院,4113010104,河北省,邢台市,本科,公办,2
118,170,沧州师范学院,4113010105,河北省,沧州市,本科,公办,3
119,171,石家庄铁道大学,4113010107,河北省,石家庄市,本科,公办,19
120,172,燕山大学,4113010216,河北省,秦皇岛市,本科,公办,4
121,173,河北科技师范学院,4113010798,河北省,秦皇岛市,本科,公办,4
122,174,唐山学院,4113011033,河北省,唐山市,本科,公办,5
123,175,华北科技学院,4113011104,应急管理部,廊坊市,本科,公办,8
124,176,中国人民警察大学,4113011105,公安部,廊坊市,本科,公办,8
125,177,河北体育学院,4113011236,河北省,石家庄市,本科,公办,19
126,178,河北金融学院,4113011420,河北省,保定市,本科,公办,9
127,179,北华航天工业学院,4113011629,河北省,廊坊市,本科,公办,8
128,180,防灾科技学院,4113011775,中国地震局,廊坊市,本科,公办,8
129,181,河北经贸大学,4113011832,河北省,石家庄市,本科,公办,19
130,182,中央司法警官学院,4113011903,司法部,保定市,本科,公办,9
131,183,河北传媒学院,4113012784,河北省教育厅,石家庄市,本科,民办,19
132,184,河北工程技术学院,4113012796,河北省教育厅,石家庄市,本科,民办,19
133,185,河北美术学院,4113013075,河北省教育厅,石家庄市,本科,民办,19
134,186,河北科技学院,4113013391,河北省教育厅,保定市,本科,民办,9
135,187,河北外国语学院,4113013402,河北省教育厅,石家庄市,本科,民办,19
136,188,河北大学工商学院,4113013404,河北省教育厅,保定市,本科,民办,9
137,189,华北理工大学轻工学院,4113013408,河北省教育厅,唐山市,本科,民办,5
138,190,河北工业职业技术大学,4113016204,河北省,石家庄市,本科,公办,19
139,191,河北师范大学汇华学院,4113013411,河北省教育厅,石家庄市,本科,民办,19
140,192,河北经贸大学经济管理学院,4113013414,河北省教育厅,石家庄市,本科,民办,19
141,193,河北医科大学临床学院,4113013415,河北省教育厅,石家庄市,本科,民办,19
142,194,河北科技工程职业技术大学,4113016203,河北省,邢台市,本科,公办,2
143,195,河北工程大学科信学院,4113013578,河北省教育厅,邯郸市,本科,民办,3
144,196,河北石油职业技术大学,4113016202,河北省,承德市,本科,公办,3
145,197,燕山大学里仁学院,4113013592,河北省教育厅,秦皇岛市,本科,民办,4
146,198,石家庄铁道大学四方学院,4113013593,河北省教育厅,石家庄市,本科,民办,19
147,199,河北地质大学华信学院,4113013594,河北省教育厅,石家庄市,本科,民办,19
148,200,河北农业大学现代科技学院,4113013595,河北省教育厅,保定市,本科,民办,9
149,201,华北理工大学冀唐学院,4113013596,河北省教育厅,唐山市,本科,民办,5
150,202,保定理工学院,4113013891,河北省教育厅,保定市,本科,民办,9
151,203,燕京理工学院,4113013895,河北省教育厅,廊坊市,本科,民办,8
152,204,北京中医药大学东方学院,4113013899,河北省教育厅,廊坊市,本科,民办,8
153,205,沧州交通学院,4113014202,河北省教育厅,沧州市,本科,民办,3
154,206,河北东方学院,4113014225,河北省教育厅,廊坊市,本科,民办,8
155,207,河北中医学院,4113014432,河北省,石家庄市,本科,公办,19
156,208,张家口学院,4113014458,河北省,张家口市,本科,公办,3
157,209,河北环境工程学院,4213051721,河北省,秦皇岛市,本科,公办,4
158,272,山西大学,4114010108,山西省,太原市,本科,公办,18
159,273,太原科技大学,4114010109,山西省,太原市,本科,公办,18
160,274,中北大学,4114010110,山西省,太原市,本科,公办,18
161,275,太原理工大学,4114010112,山西省,太原市,本科,公办,18
162,276,山西农业大学,4114010113,山西省,晋中市,本科,公办,4
163,277,山西医科大学,4114010114,山西省,太原市,本科,公办,18
164,278,长治医学院,4114010117,山西省,长治市,本科,公办,2
165,279,山西师范大学,4114010118,山西省,临汾市,本科,公办,2
166,280,太原师范学院,4114010119,山西省,太原市,本科,公办,18
167,281,山西大同大学,4114010120,山西省,大同市,本科,公办,1
168,282,晋中学院,4114010121,山西省,晋中市,本科,公办,4
169,283,长治学院,4114010122,山西省,长治市,本科,公办,2
170,284,运城学院,4114010123,山西省,运城市,本科,公办,2
171,285,忻州师范学院,4114010124,山西省,忻州市,本科,公办,1
172,286,山西财经大学,4114010125,山西省,太原市,本科,公办,18
173,287,山西中医药大学,4114010809,山西省,太原市,本科,公办,18
174,288,吕梁学院,4114010812,山西省,吕梁市,本科,公办,1
175,289,太原学院,4114011242,山西省,太原市,本科,公办,18
176,290,山西警察学院,4114012111,山西省,太原市,本科,公办,18
177,291,山西应用科技学院,4114012779,山西省教育厅,太原市,本科,民办,18
178,292,山西工程科技职业大学,4114016201,山西省,太原市,本科,公办,18
179,293,山西工学院,4114013534,山西省,朔州市,本科,公办,1
180,294,晋中信息学院,4114013535,山西省教育厅,晋中市,本科,民办,4
181,295,山西师范大学现代文理学院,4114013537,山西省教育厅,临汾市,本科,民办,2
182,296,山西晋中理工学院,4114013538,山西省教育厅,太原市,本科,民办,18
183,297,山西科技学院,4114013597,山西省,晋城市,本科,公办,1
184,298,山西医科大学晋祠学院,4114013598,山西省教育厅,太原市,本科,民办,18
185,299,山西财经大学华商学院,4114013608,山西省教育厅,太原市,本科,民办,18
186,300,山西工商学院,4114013691,山西省教育厅,太原市,本科,民办,18
187,301,太原工业学院,4114014101,山西省,太原市,本科,公办,18
188,302,运城职业技术大学,4114014226,山西省教育厅,运城市,本科,民办,2
189,303,山西传媒学院,4114014434,山西省,太原市,本科,公办,18
190,304,山西工程技术学院,4114014527,山西省,阳泉市,本科,公办,1
191,305,山西能源学院,4214051189,山西省,晋中市,本科,公办,4
192,354,内蒙古大学,4115010126,内蒙古自治区,呼和浩特市,本科,公办,10
193,355,内蒙古科技大学,4115010127,内蒙古自治区,包头市,本科,公办,1
194,356,内蒙古工业大学,4115010128,内蒙古自治区,呼和浩特市,本科,公办,10
195,357,内蒙古农业大学,4115010129,内蒙古自治区,呼和浩特市,本科,公办,10
196,358,内蒙古医科大学,4115010132,内蒙古自治区,呼和浩特市,本科,公办,10
197,359,内蒙古师范大学,4115010135,内蒙古自治区,呼和浩特市,本科,公办,10
198,360,内蒙古民族大学,4115010136,内蒙古自治区,通辽市,本科,公办,1
199,361,赤峰学院,4115010138,内蒙古自治区,赤峰市,本科,公办,1
200,362,内蒙古财经大学,4115010139,内蒙古自治区,呼和浩特市,本科,公办,10
201,363,呼伦贝尔学院,4115010819,内蒙古自治区,呼伦贝尔市,本科,公办,1
202,364,集宁师范学院,4115011427,内蒙古自治区,乌兰察布市,本科,公办,1
203,365,河套学院,4115011631,内蒙古自治区,巴彦淖尔市,本科,公办,1
204,366,呼和浩特民族学院,4115011709,内蒙古自治区,呼和浩特市,本科,公办,10
205,367,内蒙古大学创业学院,4115014199,内蒙古自治区教育厅,呼和浩特市,本科,民办,10
206,368,内蒙古鸿德文理学院,4115014205,内蒙古自治区教育厅,呼和浩特市,本科,民办,10
207,369,内蒙古艺术学院,4115014531,内蒙古自治区,呼和浩特市,本科,公办,10
208,370,鄂尔多斯应用技术学院,4115014532,内蒙古自治区,鄂尔多斯市,本科,公办,1
209,408,辽宁大学,4121010140,辽宁省,沈阳市,本科,公办,27
210,409,大连理工大学,4121010141,教育部,大连市,本科,公办,20
211,410,沈阳工业大学,4121010142,辽宁省,沈阳市,本科,公办,27
212,411,沈阳航空航天大学,4121010143,辽宁省,沈阳市,本科,公办,27
213,412,沈阳理工大学,4121010144,辽宁省,沈阳市,本科,公办,27
214,413,东北大学,4121010145,教育部,沈阳市,本科,公办,27
215,414,辽宁科技大学,4121010146,辽宁省,鞍山市,本科,公办,2
216,415,辽宁工程技术大学,4121010147,辽宁省,阜新市,本科,公办,1
217,416,辽宁石油化工大学,4121010148,辽宁省,抚顺市,本科,公办,2
218,417,沈阳化工大学,4121010149,辽宁省,沈阳市,本科,公办,27
219,418,大连交通大学,4121010150,辽宁省,大连市,本科,公办,20
220,419,大连海事大学,4121010151,交通运输部,大连市,本科,公办,20
221,420,大连工业大学,4121010152,辽宁省,大连市,本科,公办,20
222,421,沈阳建筑大学,4121010153,辽宁省,沈阳市,本科,公办,27
223,422,辽宁工业大学,4121010154,辽宁省,锦州市,本科,公办,6
224,423,沈阳农业大学,4121010157,辽宁省,沈阳市,本科,公办,27
225,424,大连海洋大学,4121010158,辽宁省,大连市,本科,公办,20
226,425,中国医科大学,4121010159,辽宁省,沈阳市,本科,公办,27
227,426,锦州医科大学,4121010160,辽宁省,锦州市,本科,公办,6
228,427,大连医科大学,4121010161,辽宁省,大连市,本科,公办,20
229,428,辽宁中医药大学,4121010162,辽宁省,沈阳市,本科,公办,27
230,429,沈阳药科大学,4121010163,辽宁省,沈阳市,本科,公办,27
231,430,沈阳医学院,4121010164,辽宁省,沈阳市,本科,公办,27
232,431,辽宁师范大学,4121010165,辽宁省,大连市,本科,公办,20
233,432,沈阳师范大学,4121010166,辽宁省,沈阳市,本科,公办,27
234,433,渤海大学,4121010167,辽宁省,锦州市,本科,公办,6
235,434,鞍山师范学院,4121010169,辽宁省,鞍山市,本科,公办,2
236,435,大连外国语大学,4121010172,辽宁省,大连市,本科,公办,20
237,436,东北财经大学,4121010173,辽宁省,大连市,本科,公办,20
238,437,中国刑事警察学院,4121010175,公安部,沈阳市,本科,公办,27
239,438,沈阳体育学院,4121010176,辽宁省,沈阳市,本科,公办,27
240,439,沈阳音乐学院,4121010177,辽宁省,沈阳市,本科,公办,27
241,440,鲁迅美术学院,4121010178,辽宁省,沈阳市,本科,公办,27
242,441,辽宁对外经贸学院,4121010841,辽宁省教育厅,大连市,本科,民办,20
243,442,沈阳大学,4121011035,辽宁省,沈阳市,本科,公办,27
244,443,大连大学,4121011258,辽宁省,大连市,本科,公办,20
245,444,辽宁科技学院,4121011430,辽宁省,本溪市,本科,公办,1
246,445,辽宁警察学院,4121011432,辽宁省,大连市,本科,公办,20
247,446,沈阳工程学院,4121011632,辽宁省,沈阳市,本科,公办,27
248,447,辽东学院,4121011779,辽宁省,丹东市,本科,公办,1
249,448,大连民族大学,4121012026,国家民委,大连市,本科,公办,20
250,449,辽宁理工职业大学,4121012595,辽宁省教育厅,锦州市,本科,民办,6
251,450,大连理工大学城市学院,4121013198,辽宁省教育厅,大连市,本科,民办,20
252,451,沈阳工业大学工程学院,4121013199,辽宁省教育厅,辽阳市,本科,民办,1
253,452,沈阳航空航天大学北方科技学院,4121013200,辽宁省教育厅,沈阳市,本科,民办,27
254,453,沈阳工学院,4121013201,辽宁省教育厅,抚顺市,本科,民办,2
255,454,大连工业大学艺术与信息工程学院,4121013203,辽宁省教育厅,大连市,本科,民办,20
256,455,大连科技学院,4121013207,辽宁省教育厅,大连市,本科,民办,20
257,456,沈阳城市建设学院,4121013208,辽宁省教育厅,沈阳市,本科,民办,27
258,457,大连医科大学中山学院,4121013212,辽宁省教育厅,大连市,本科,民办,20
259,458,锦州医科大学医疗学院,4121013213,辽宁省教育厅,锦州市,本科,民办,6
260,459,辽宁师范大学海华学院,4121013215,辽宁省教育厅,沈阳市,本科,民办,27
261,460,辽宁理工学院,4121013217,辽宁省教育厅,锦州市,本科,民办,6
262,461,大连财经学院,4121013218,辽宁省教育厅,大连市,本科,民办,20
263,462,沈阳城市学院,4121013220,辽宁省教育厅,沈阳市,本科,民办,27
264,463,大连艺术学院,4121013599,辽宁省教育厅,大连市,本科,民办,20
265,464,辽宁中医药大学杏林学院,4121013609,辽宁省教育厅,沈阳市,本科,民办,27
266,465,辽宁何氏医学院,4121013610,辽宁省教育厅,沈阳市,本科,民办,27
267,466,沈阳科技学院,4121013621,辽宁省教育厅,沈阳市,本科,民办,27
268,467,大连东软信息学院,4121013631,辽宁省教育厅,大连市,本科,民办,20
269,468,辽宁财贸学院,4121013900,辽宁省教育厅,葫芦岛市,本科,民办,1
270,469,辽宁传媒学院,4121013957,辽宁省教育厅,沈阳市,本科,民办,27
271,470,营口理工学院,4121014435,辽宁省,营口市,本科,公办,1
272,522,吉林大学,4122010183,教育部,长春市,本科,公办,27
273,523,延边大学,4122010184,吉林省,延边朝鲜族自治州,本科,公办,1
274,524,长春理工大学,4122010186,吉林省,长春市,本科,公办,27
275,525,东北电力大学,4122010188,吉林省,吉林市,本科,公办,5
276,526,长春工业大学,4122010190,吉林省,长春市,本科,公办,27
277,527,吉林建筑大学,4122010191,吉林省,长春市,本科,公办,27
278,528,吉林化工学院,4122010192,吉林省,吉林市,本科,公办,5
279,529,吉林农业大学,4122010193,吉林省,长春市,本科,公办,27
280,530,长春中医药大学,4122010199,吉林省,长春市,本科,公办,27
281,531,东北师范大学,4122010200,教育部,长春市,本科,公办,27
282,532,北华大学,4122010201,吉林省,吉林市,本科,公办,5
283,533,通化师范学院,4122010202,吉林省,通化市,本科,公办,1
284,534,吉林师范大学,4122010203,吉林省,四平市,本科,公办,2
285,535,吉林工程技术师范学院,4122010204,吉林省,长春市,本科,公办,27
286,536,长春师范大学,4122010205,吉林省,长春市,本科,公办,27
287,537,白城师范学院,4122010206,吉林省,白城市,本科,公办,1
288,538,吉林财经大学,4122010207,吉林省,长春市,本科,公办,27
289,539,吉林体育学院,4122010208,吉林省,长春市,本科,公办,27
290,540,吉林艺术学院,4122010209,吉林省,长春市,本科,公办,27
291,541,吉林外国语大学,4122010964,吉林省教育厅,长春市,本科,民办,27
292,542,吉林工商学院,4122011261,吉林省,长春市,本科,公办,27
293,543,长春工程学院,4122011437,吉林省,长春市,本科,公办,27
294,544,吉林农业科技学院,4122011439,吉林省,吉林市,本科,公办,5
295,545,吉林警察学院,4122011441,吉林省,长春市,本科,公办,27
296,546,长春大学,4122011726,吉林省,长春市,本科,公办,27
297,547,长春光华学院,4122013600,吉林省教育厅,长春市,本科,民办,27
298,548,长春工业大学人文信息学院,4122013601,吉林省教育厅,长春市,本科,民办,27
299,549,长春电子科技学院,4122013602,吉林省教育厅,长春市,本科,民办,27
300,550,长春财经学院,4122013603,吉林省教育厅,长春市,本科,民办,27
301,551,吉林建筑科技学院,4122013604,吉林省教育厅,长春市,本科,民办,27
302,552,长春建筑学院,4122013605,吉林省教育厅,长春市,本科,民办,27
303,553,长春科技学院,4122013606,吉林省教育厅,长春市,本科,民办,27
304,554,吉林动画学院,4122013607,吉林省教育厅,长春市,本科,民办,27
305,555,吉林师范大学博达学院,4122013622,吉林省教育厅,四平市,本科,民办,2
306,556,长春大学旅游学院,4122013623,吉林省教育厅,长春市,本科,民办,27
307,557,长春人文学院,4122013662,吉林省教育厅,长春市,本科,民办,27
308,558,吉林医药学院,4122013706,吉林省,吉林市,本科,公办,5
309,588,黑龙江大学,4123010212,黑龙江省,哈尔滨市,本科,公办,27
310,589,哈尔滨工业大学,4123010213,工业和信息化部,哈尔滨市,本科,公办,27
311,590,哈尔滨理工大学,4123010214,黑龙江省,哈尔滨市,本科,公办,27
312,591,哈尔滨工程大学,4123010217,工业和信息化部,哈尔滨市,本科,公办,27
313,592,黑龙江科技大学,4123010219,黑龙江省,哈尔滨市,本科,公办,27
314,593,东北石油大学,4123010220,黑龙江省,大庆市,本科,公办,3
315,594,佳木斯大学,4123010222,黑龙江省,佳木斯市,本科,公办,1
